Present_Tmax;LDAPS_RHmin;LDAPS_RHmax;LDAPS_Tmax_lapse;LDAPS_Tmin_lapse;LDAPS_WS;LDAPS_LH;LDAPS_CC1;LDAPS_CC2;LDAPS_CC3;LDAPS_CC4;LDAPS_PPT1;LDAPS_PPT2;LDAPS_PPT3;LDAPS_PPT4;lat;lon;DEM;Slope;Solar radiation;Next_Tmax
33,60;48,44;80,43;33,04;25,48;6,19;61,86;0,21;0,26;0,22;0,62;0,00;0,00;0,00;0,00;37,46;126,96;208,51;5,18;4731,64;33,30
33,20;45,41;79,81;34,68;27,06;6,03;55,80;0,31;0,29;0,28;0,66;0,00;0,00;0,00;0,00;37,54;127,09;28,70;0,62;4804,66;34,60
33,60;44,77;67,90;33,92;27,00;6,25;26,76;0,20;0,32;0,19;0,59;0,00;0,00;0,00;0,00;37,55;126,99;132,12;0,59;4846,35;33,70
32,80;43,63;71,99;34,76;27,61;5,65;29,95;0,26;0,31;0,26;0,63;0,00;0,00;0,00;0,00;37,58;127,08;59,83;2,69;4777,40;33,80
33,20;45,29;72,63;34,60;27,56;6,24;15,02;0,21;0,32;0,20;0,62;0,00;0,00;0,00;0,00;37,50;126,93;30,97;0,62;4786,32;33,30
33,80;46,35;74,68;34,30;27,03;5,91;30,87;0,18;0,32;0,15;0,64;0,00;0,00;0,00;0,00;37,55;126,94;30,05;0,86;4808,34;33,30
32,30;48,98;79,10;33,52;26,37;5,61;89,10;0,21;0,25;0,24;0,59;0,00;0,00;0,00;0,00;37,47;127,00;82,29;2,26;4754,42;32,70
31,80;51,26;89,40;33,34;25,05;4,88;109,71;0,19;0,28;0,20;0,53;0,00;0,00;0,00;0,00;37,62;127,10;53,47;0,70;4801,24;33,50
35,10;48,33;79,16;33,71;26,67;5,59;92,79;0,27;0,25;0,26;0,59;0,00;0,00;0,00;0,00;37,48;127,02;56,44;1,23;4779,29;35,30
33,70;46,44;78,60;33,81;26,25;5,76;40,42;0,17;0,30;0,16;0,61;0,00;0,00;0,00;0,00;37,58;126,94;75,09;1,77;4834,01;33,50
32,50;54,47;77,65;31,94;25,13;7,18;78,20;0,12;0,22;0,08;0,53;0,00;0,00;0,00;0,00;37,62;127,00;146,55;4,73;4890,24;32,80
33,20;42,41;69,05;34,91;27,99;6,09;14,11;0,23;0,31;0,21;0,62;0,00;0,00;0,00;0,00;37,55;127,04;26,30;0,57;4795,12;33,00
34,50;48,12;80,32;34,12;26,66;5,79;85,04;0,32;0,26;0,29;0,63;0,00;0,00;0,00;0,00;37,51;127,09;21,97;0,13;4782,18;33,90
34,40;49,93;78,74;33,31;26,35;5,29;84,22;0,16;0,30;0,14;0,63;0,00;0,00;0,00;0,00;37,54;126,89;15,59;0,16;4783,15;34,40
34,10;47,08;74,55;34,03;26,89;5,76;46,14;0,17;0,32;0,17;0,64;0,00;0,00;0,00;0,00;37,52;126,91;17,30;0,22;4778,88;34,00
34,20;43,94;66,81;34,87;27,94;6,10;21,07;0,24;0,32;0,20;0,60;0,00;0,00;0,00;0,00;37,52;126,97;19,58;0,27;4790,47;33,30
30,00;76,90;94,86;27,58;23,62;5,26;52,38;0,90;0,80;0,61;0,07;1,44;4,26;0,31;0,00;37,60;126,99;212,34;2,79;4915,48;26,00
33,00;74,19;94,72;29,64;24,94;3,72;49,51;0,86;0,83;0,69;0,09;1,34;4,50;0,31;0,00;37,60;127,03;44,76;0,51;4767,53;29,40
32,50;65,04;93,60;29,87;25,20;4,41;57,71;0,87;0,86;0,70;0,09;2,11;4,59;0,33;0,00;37,58;127,06;33,31;0,27;4762,39;29,10
33,00;79,94;96,81;28,07;23,72;3,95;45,45;0,87;0,81;0,60;0,08;2,93;5,04;0,38;0,00;37,65;127,02;45,72;2,53;4752,66;29,60
33,90;77,07;95,08;28,01;24,85;4,10;55,61;0,88;0,90;0,72;0,10;5,77;3,73;0,49;0,00;37,55;127,14;35,04;0,51;4750,57;28,50
32,70;62,09;93,77;29,33;25,47;4,64;66,84;0,81;0,92;0,76;0,12;7,20;2,32;0,46;0,00;37,51;127,04;54,64;0,15;4764,23;29,90
32,00;70,78;94,56;28,24;24,48;4,23;72,43;0,87;0,79;0,60;0,05;2,24;4,09;0,38;0,00;37,58;126,84;12,37;0,10;4744,45;29,30
32,60;71,33;93,41;29,24;24,87;4,50;53,10;0,77;0,82;0,71;0,11;4,51;1,67;0,41;0,00;37,47;126,91;52,52;1,56;4745,61;29,10
32,70;78,48;94,12;28,60;23,91;4,12;48,10;0,82;0,80;0,63;0,10;4,06;1,69;0,32;0,00;37,50;126,83;50,93;0,41;4774,97;28,10
32,10;74,81;94,99;27,70;23,72;4,84;45,77;0,75;0,82;0,75;0,12;4,45;1,67;0,45;0,00;37,46;126,96;208,51;5,18;4693,44;26,90
33,60;62,71;93,60;29,34;25,50;4,40;64,18;0,87;0,91;0,74;0,10;6,76;3,20;0,45;0,00;37,54;127,09;28,70;0,62;4768,98;29,70
32,60;61,78;93,22;29,56;24,46;5,03;58,48;0,85;0,81;0,68;0,10;2,82;3,78;0,46;0,00;37,55;126,99;132,12;0,59;4810,15;29,20
33,00;67,01;93,57;29,03;24,93;4,18;56,97;0,91;0,86;0,70;0,09;2,52;4,58;0,33;0,00;37,58;127,08;59,83;2,69;4741,14;29,30
32,90;62,34;92,53;30,56;24,97;4,72;60,02;0,79;0,84;0,68;0,11;6,19;1,91;0,43;0,00;37,50;126,93;30,97;0,62;4750,35;29,00
32,10;61,52;93,10;30,14;24,62;4,76;62,49;0,87;0,77;0,65;0,09;2,31;3,95;0,37;0,00;37,55;126,94;30,05;0,86;4772,68;28,40
31,50;74,44;93,67;29,06;24,57;4,32;48,26;0,80;0,86;0,76;0,15;5,48;1,70;0,39;0,00;37,47;127,00;82,29;2,26;4717,58;27,70
32,20;79,05;95,19;27,20;23,59;3,52;39,00;0,90;0,80;0,69;0,09;1,40;4,22;0,28;0,00;37,62;127,10;53,47;0,70;4765,27;29,40
34,20;76,49;94,09;28,62;24,82;4,27;49,77;0,84;0,89;0,78;0,14;6,53;1,77;0,39;0,00;37,48;127,02;56,44;1,23;4742,97;29,70
32,30;66,12;93,71;29,41;24,14;4,47;58,24;0,88;0,78;0,61;0,08;1,36;4,47;0,35;0,00;37,58;126,94;75,09;1,77;4798,29;28,10
31,90;75,73;96,87;27,73;24,15;4,96;53,03;0,89;0,82;0,60;0,07;1,70;4,21;0,33;0,00;37,62;127,00;146,55;4,73;4854,93;28,30
32,20;61,56;93,43;30,45;25,39;4,82;59,52;0,86;0,87;0,73;0,10;4,17;3,74;0,47;0,00;37,55;127,04;26,30;0,57;4759,33;28,50
33,30;65,17;92,81;28,74;25,58;4,22;70,66;0,89;0,92;0,76;0,12;7,10;2,10;0,42;0,00;37,51;127,09;21,97;0,13;4746,24;29,30
33,40;70,49;92,82;29,52;24,59;4,70;72,17;0,86;0,80;0,64;0,09;2,63;3,45;0,33;0,00;37,54;126,89;15,59;0,16;4747,27;29,80
32,90;66,17;92,75;30,04;24,75;4,70;65,87;0,83;0,80;0,67;0,10;3,96;2,65;0,38;0,00;37,52;126,91;17,30;0,22;4742,92;29,40
32,90;59,76;91,48;30,75;25,06;4,83;62,88;0,85;0,84;0,69;0,11;5,65;2,62;0,46;0,00;37,52;126,97;19,58;0,27;4754,67;29,60
25,80;43,87;95,13;29,85;21,61;6,83;82,33;0,14;0,02;0,04;0,00;0,00;0,00;0,00;0,00;37,60;126,99;212,34;2,79;4879,56;29,10
28,80;37,21;94,01;32,00;23,37;5,75;56,70;0,22;0,12;0,03;0,00;0,00;0,00;0,00;0,00;37,60;127,03;44,76;0,51;4731,18;32,30
29,00;30,54;89,52;33,24;23,90;6,05;13,14;0,18;0,10;0,00;0,00;0,00;0,00;0,00;0,00;37,58;127,06;33,31;0,27;4726,06;32,40
29,20;43,85;98,24;30,58;22,20;6,26;84,22;0,17;0,08;0,08;0,00;0,00;0,00;0,00;0,00;37,65;127,02;45,72;2,53;4716,29;32,40
28,50;35,17;94,78;31,14;23,31;4,96;131,17;0,23;0,08;0,04;0,00;0,00;0,00;0,00;0,00;37,55;127,14;35,04;0,51;4714,06;32,60
29,80;29,58;88,99;33,01;23,80;6,05;58,30;0,22;0,08;0,00;0,00;0,00;0,00;0,00;0,00;37,51;127,04;54,64;0,15;4727,69;32,80
29,10;49,06;93,01;29,88;24,05;5,03;135,23;0,26;0,02;0,00;0,01;0,00;0,00;0,00;0,00;37,58;126,84;12,37;0,10;4708,05;32,40
29,00;38,64;91,45;31,59;23,79;5,82;50,58;0,25;0,05;0,00;0,00;0,00;0,00;0,00;0,00;37,47;126,91;52,52;1,56;4708,87;32,10
27,40;53,50;93,65;29,94;23,41;5,18;99,57;0,22;0,04;0,01;0,00;0,00;0,00;0,00;0,00;37,50;126,83;50,93;0,41;4738,60;31,80
26,60;38,96;92,47;30,49;22,79;6,19;72,78;0,24;0,04;0,00;0,00;0,00;0,00;0,00;0,00;37,46;126,96;208,51;5,18;4654,75;32,20
29,10;30,83;90,55;33,17;23,80;5,64;63,26;0,24;0,09;0,01;0,00;0,00;0,00;0,00;0,00;37,54;127,09;28,70;0,62;4732,79;34,20
27,30;31,67;87,81;32,16;23,55;6,45;28,33;0,23;0,07;0,00;0,00;0,00;0,00;0,00;0,00;37,55;126,99;132,12;0,59;4773,44;32,60
28,80;31,01;90,56;33,08;23,57;5,62;33,61;0,20;0,09;0,02;0,00;0,00;0,00;0,00;0,00;37,58;127,08;59,83;2,69;4704,37;33,20
28,90;34,27;85,20;32,44;24,67;6,16;15,62;0,22;0,07;0,00;0,00;0,00;0,00;0,00;0,00;37,50;126,93;30,97;0,62;4713,87;32,00
28,20;35,00;85,98;32,33;24,57;6,20;33,09;0,25;0,06;0,00;0,00;0,00;0,00;0,00;0,00;37,55;126,94;30,05;0,86;4736,51;32,60
27,10;37,12;91,52;31,33;23,26;5,79;105,06;0,24;0,04;0,00;0,00;0,00;0,00;0,00;0,00;37,47;127,00;82,29;2,26;4680,25;32,30
28,20;44,13;96,50;31,15;22,23;4,95;128,71;0,17;0,08;0,03;0,00;0,00;0,00;0,00;0,00;37,62;127,10;53,47;0,70;4728,78;32,40
29,80;35,64;93,19;31,87;23,06;5,79;109,97;0,21;0,06;0,00;0,00;0,00;0,00;0,00;0,00;37,48;127,02;56,44;1,23;4706,14;34,40
27,20;39,24;88,53;31,67;23,98;6,10;44,49;0,23;0,02;0,00;0,00;0,00;0,00;0,00;0,00;37,58;126,94;75,09;1,77;4762,06;32,00
28,10;44,97;97,22;29,71;21,80;7,15;83,09;0,13;0,03;0,08;0,00;0,00;0,00;0,00;0,00;37,62;127,00;146,55;4,73;4819,10;31,70
28,30;29,21;87,91;33,38;24,22;6,40;14,93;0,22;0,06;0,00;0,00;0,00;0,00;0,00;0,00;37,55;127,04;26,30;0,57;4723,03;32,20
29,00;31,88;91,11;32,80;23,79;5,64;98,20;0,24;0,07;0,00;0,00;0,00;0,00;0,00;0,00;37,51;127,09;21,97;0,13;4709,79;33,70
29,80;39,59;88,56;31,04;24,72;5,68;92,88;0,25;0,07;0,00;0,00;0,00;0,00;0,00;0,00;37,54;126,89;15,59;0,16;4710,88;34,20
29,40;37,02;86,11;31,92;24,82;5,95;49,49;0,23;0,08;0,00;0,00;0,00;0,00;0,00;0,00;37,52;126,91;17,30;0,22;4706,45;33,00
29,60;29,94;86,22;33,21;24,49;6,27;22,38;0,24;0,08;0,00;0,00;0,00;0,00;0,00;0,00;37,52;126,97;19,58;0,27;4718,37;33,00
28,90;44,14;82,99;30,08;21,06;5,58;80,76;0,09;0,03;0,11;0,02;0,00;0,00;0,00;0,00;37,60;126,99;212,34;2,79;4843,14;29,60
32,00;39,23;81,74;31,99;22,23;5,74;56,81;0,08;0,03;0,11;0,02;0,00;0,00;0,00;0,00;37,60;127,03;44,76;0,51;4694,34;32,80
31,90;33,59;75,74;33,03;23,01;5,83;13,34;0,10;0,03;0,11;0,06;0,00;0,00;0,00;0,00;37,58;127,06;33,31;0,27;4689,24;32,50
31,90;49,44;83,56;30,44;21,53;5,80;85,03;0,10;0,03;0,12;0,00;0,00;0,00;0,00;0,00;37,65;127,02;45,72;2,53;4679,12;32,90
32,20;43,93;80,96;30,97;22,41;4,41;128,99;0,13;0,02;0,00;0,00;0,00;0,00;0,00;0,00;37,55;127,14;35,04;0,51;4677,06;32,10
32,00;34,10;71,98;32,60;23,66;5,49;59,29;0,14;0,02;0,01;0,06;0,00;0,00;0,00;0,00;37,51;127,04;54,64;0,15;4690,66;32,60
32,20;45,19;85,47;30,49;22,07;4,90;143,07;0,08;0,03;0,00;0,01;0,00;0,00;0,00;0,00;37,58;126,84;12,37;0,10;4671,16;33,30
31,10;41,06;71,58;32,21;24,07;5,86;52,12;0,16;0,02;0,05;0,00;0,00;0,00;0,00;0,00;37,47;126,91;52,52;1,56;4671,65;32,40
30,90;47,30;85,57;30,90;21,88;5,43;104,90;0,11;0,03;0,00;0,00;0,00;0,00;0,00;0,00;37,50;126,83;50,93;0,41;4701,74;32,20
31,60;43,58;78,78;30,73;22,38;5,97;71,03;0,18;0,02;0,07;0,01;0,00;0,00;0,00;0,00;37,46;126,96;208,51;5,18;4615,59;32,00
34,20;35,04;74,33;32,55;23,44;5,08;62,35;0,13;0,03;0,01;0,14;0,00;0,00;0,00;0,00;37,54;127,09;28,70;0,62;4696,11;33,30
31,30;34,70;72,43;32,27;23,05;6,03;28,83;0,11;0,03;0,08;0,03;0,00;0,00;0,00;0,00;37,55;126,99;132,12;0,59;4736,24;32,20
32,50;34,80;76,52;32,82;22,62;5,18;33,43;0,10;0,03;0,10;0,06;0,00;0,00;0,00;0,00;37,58;127,08;59,83;2,69;4667,12;32,40
31,40;34,07;67,55;33,10;24,48;6,07;16,28;0,14;0,02;0,04;0,00;0,00;0,00;0,00;0,00;37,50;126,93;30,97;0,62;4676,91;32,60
31,90;34,50;68,67;32,80;24,13;6,02;34,36;0,10;0,03;0,04;0,01;0,00;0,00;0,00;0,00;37,55;126,94;30,05;0,86;4699,86;32,00
31,70;41,46;80,24;31,34;22,83;5,01;99,12;0,18;0,02;0,03;0,07;0,00;0,00;0,00;0,00;37,47;127,00;82,29;2,26;4642,44;31,10
31,50;43,73;90,41;31,15;20,18;3,88;125,96;0,08;0,03;0,05;0,00;0,00;0,00;0,00;0,00;37,62;127,10;53,47;0,70;4691,81;31,70
34,10;39,63;78,41;31,60;23,25;4,98;104,61;0,17;0,02;0,00;0,03;0,00;0,00;0,00;0,00;37,48;127,02;56,44;1,23;4668,84;34,10
31,80;37,32;72,61;32,12;23,30;5,82;45,74;0,08;0,03;0,05;0,02;0,00;0,00;0,00;0,00;37,58;126,94;75,09;1,77;4725,34;31,80
31,40;47,84;75,78;29,85;21,80;6,37;84,22;0,09;0,03;0,14;0,00;0,00;0,00;0,00;0,00;37,62;127,00;146,55;4,73;4782,77;32,30
31,80;31,87;73,47;33,29;23,35;6,07;15,24;0,12;0,03;0,08;0,11;0,00;0,00;0,00;0,00;37,55;127,04;26,30;0,57;4686,24;31,70
32,60;37,12;75,51;32,01;23,86;4,95;97,18;0,14;0,02;0,00;0,03;0,00;0,00;0,00;0,00;37,51;127,09;21,97;0,13;4672,85;33,00
32,60;40,14;78,60;31,55;23,17;5,72;97,61;0,10;0,02;0,00;0,00;0,00;0,00;0,00;0,00;37,54;126,89;15,59;0,16;4674,01;34,20
32,60;36,12;73,44;32,50;23,74;6,00;51,90;0,11;0,02;0,00;0,00;0,00;0,00;0,00;0,00;37,52;126,91;17,30;0,22;4669,50;33,30
32,70;32,80;69,28;33,43;24,19;5,73;22,93;0,13;0,02;0,07;0,02;0,00;0,00;0,00;0,00;37,52;126,97;19,58;0,27;4681,57;33,30
29,40;44,83;80,27;29,60;22,04;7,27;85,16;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37,60;126,99;212,34;2,79;4806,72;29,60
32,50;39,39;77,62;31,54;23,19;6,05;58,85;0,03;0,00;0,01;0,00;0,00;0,00;0,00;0,00;37,60;127,03;44,76;0,51;4657,51;32,10
32,10;34,38;70,69;32,62;23,98;6,52;13,77;0,04;0,00;0,01;0,00;0,00;0,00;0,00;0,00;37,58;127,06;33,31;0,27;4652,43;32,40
32,40;45,98;90,89;30,36;21,24;6,04;87,40;0,01;0,00;0,01;0,00;0,00;0,00;0,00;0,00;37,65;127,02;45,72;2,53;4642,16;32,60
31,00;41,23;83,33;31,17;22,90;5,25;138,94;0,07;0,00;0,05;0,00;0,00;0,00;0,00;0,00;37,55;127,14;35,04;0,51;4640,10;32,00
32,10;32,46;70,56;32,42;24,61;6,42;63,31;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37,51;127,04;54,64;0,15;4653,65;32,80
32,20;48,49;79,73;29,94;23,46;4,80;138,94;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37,58;126,84;12,37;0,10;4634,29;32,00
32,00;30,78;68,37;32,05;24,37;5,53;52,50;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;37,47;126,91;52,52;1,56;4634,48;31,70
31,80;39,62;81,12;30,61;22,86;5,72;105,75;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;37,50;126,83;50,93;0,41;4664,90;31,70
32,00;32,31;74,67;30,70;22,71;6,24;73,80;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;37,46;126,96;208,51;5,18;4576,55;31,30
32,00;33,94;72,63;32,56;24,26;5,86;67,26;0,05;0,00;0,02;0,00;0,00;0,00;0,00;0,00;37,54;127,09;28,70;0,62;4659,46;34,20
30,40;33,56;69,65;31,74;23,90;7,32;29,73;0,06;0,01;0,00;0,00;0,00;0,00;0,00;0,00;37,55;126,99;132,12;0,59;4699,08;31,40
31,70;34,81;71,24;32,47;23,61;6,11;34,68;0,06;0,00;0,05;0,00;0,00;0,00;0,00;0,00;37,58;127,08;59,83;2,69;4629,95;32,80
31,80;30,71;67,06;32,65;25,07;6,39;16,72;0,03;0,01;0,00;0,00;0,00;0,00;0,00;0,00;37,50;126,93;30,97;0,62;4639,98;31,70
31,50;34,73;69,09;32,12;25,08;6,65;34,57;0,04;0,01;0,00;0,00;0,00;0,00;0,00;0,00;37,55;126,94;30,05;0,86;4663,23;32,30
30,60;34,13;77,52;31,28;22,83;6,15;107,86;0,03;0,02;0,02;0,00;0,00;0,00;0,00;0,00;37,47;127,00;82,29;2,26;4604,65;31,20
30,80;45,12;86,86;31,03;20,88;4,82;127,10;0,04;0,00;0,05;0,00;0,00;0,00;0,00;0,00;37,62;127,10;53,47;0,70;4654,88;32,00
33,60;34,81;76,76;31,58;22,77;6,01;112,84;0,05;0,01;0,01;0,00;0,00;0,00;0,00;0,00;37,48;127,02;56,44;1,23;4631,54;34,60
31,50;38,33;71,14;31,44;24,49;6,36;45,24;0,05;0,01;0,00;0,00;0,00;0,00;0,00;0,00;37,58;126,94;75,09;1,77;4688,68;31,70
31,90;47,29;84,80;29,40;21,88;7,14;86,59;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37,62;127,00;146,55;4,73;4746,36;32,00
30,90;32,64;68,67;32,74;24,43;6,80;15,66;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37,55;127,04;26,30;0,57;4649,46;32,30
32,50;34,58;73,58;32,18;24,29;5,63;106,20;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37,51;127,09;21,97;0,13;4635,94;32,10
32,90;40,89;74,26;30,98;25,08;6,00;96,41;0,03;0,01;0,00;0,00;0,00;0,00;0,00;0,00;37,54;126,89;15,59;0,16;4637,15;33,50
32,90;35,79;70,30;31,87;25,43;6,19;52,48;0,03;0,01;0,00;0,00;0,00;0,00;0,00;0,00;37,52;126,91;17,30;0,22;4632,57;33,20
32,90;31,96;66,88;32,75;25,22;7,07;24,54;0,04;0,01;0,00;0,00;0,00;0,00;0,00;0,00;37,52;126,97;19,58;0,27;4644,80;33,70
28,70;56,25;85,85;27,83;20,72;7,06;77,44;0,00;0,02;0,08;0,01;0,00;0,00;0,00;0,00;37,60;126,99;212,34;2,79;4769,28;27,30
31,60;48,13;85,43;29,79;22,23;5,43;53,97;0,00;0,05;0,05;0,01;0,00;0,00;0,00;0,00;37,60;127,03;44,76;0,51;4619,68;29,80
31,70;42,43;80,01;30,67;23,08;6,26;12,45;0,00;0,03;0,07;0,01;0,00;0,00;0,00;0,00;37,58;127,06;33,31;0,27;4614,63;30,20
31,60;52,88;94,63;28,47;20,96;5,98;82,94;0,00;0,03;0,06;0,01;0,00;0,00;0,00;0,00;37,65;127,02;45,72;2,53;4604,26;30,10
31,50;50,02;88,82;29,45;22,26;5,84;125,97;0,00;0,02;0,15;0,06;0,00;0,00;0,00;0,00;37,55;127,14;35,04;0,51;4602,12;30,70
31,80;47,81;75,35;29,94;23,86;6,55;55,85;0,01;0,01;0,15;0,03;0,00;0,00;0,00;0,00;37,51;127,04;54,64;0,15;4615,64;30,30
31,50;57,99;87,01;28,20;22,16;5,19;128,37;0,00;0,02;0,09;0,01;0,00;0,00;0,00;0,00;37,58;126,84;12,37;0,10;4596,42;29,60
31,10;52,39;79,37;29,23;23,01;6,05;45,38;0,00;0,02;0,15;0,04;0,00;0,00;0,00;0,00;37,47;126,91;52,52;1,56;4596,28;30,00
30,60;57,00;86,73;28,51;21,52;5,45;91,77;0,00;0,02;0,12;0,01;0,00;0,00;0,00;0,00;37,50;126,83;50,93;0,41;4627,06;29,90
30,60;55,99;83,05;27,84;21,48;6,66;63,79;0,00;0,02;0,12;0,02;0,00;0,00;0,00;0,00;37,46;126,96;208,51;5,18;4536,44;29,10
33,60;44,56;79,05;30,47;23,12;6,23;60,06;0,00;0,02;0,13;0,04;0,00;0,00;0,00;0,00;37,54;127,09;28,70;0,62;4621,79;32,60
31,30;44,92;79,86;29,56;22,69;6,78;26,43;0,00;0,01;0,08;0,02;0,00;0,00;0,00;0,00;37,55;126,99;132,12;0,59;4660,89;29,90
32,20;42,63;81,13;30,73;22,92;5,87;31,26;0,00;0,03;0,11;0,03;0,00;0,00;0,00;0,00;37,58;127,08;59,83;2,69;4591,73;30,80
31,50;46,33;73,83;30,03;23,75;6,42;15,19;0,00;0,01;0,12;0,03;0,00;0,00;0,00;0,00;37,50;126,93;30,97;0,62;4602,03;30,00
31,20;47,67;77,27;29,83;23,21;6,41;32,02;0,00;0,01;0,09;0,02;0,00;0,00;0,00;0,00;37,55;126,94;30,05;0,86;4625,58;30,20
30,50;55,17;79,51;28,58;22,50;6,22;92,64;0,00;0,01;0,15;0,02;0,00;0,00;0,00;0,00;37,47;127,00;82,29;2,26;4565,88;29,30
31,40;51,79;92,30;29,47;20,53;4,96;119,34;0,00;0,06;0,12;0,01;0,00;0,00;0,00;0,00;37,62;127,10;53,47;0,70;4616,93;30,20
33,50;53,18;79,24;29,00;22,67;6,17;97,47;0,00;0,01;0,13;0,02;0,00;0,00;0,00;0,00;37,48;127,02;56,44;1,23;4593,26;30,70
31,20;49,45;82,61;29,36;22,43;6,11;41,73;0,00;0,01;0,09;0,01;0,00;0,00;0,00;0,00;37,58;126,94;75,09;1,77;4650,96;30,20
31,40;60,18;92,72;27,63;20,89;6,75;79,23;0,00;0,01;0,06;0,01;0,00;0,00;0,00;0,00;37,62;127,00;146,55;4,73;4709,02;29,40
31,70;42,66;78,56;30,68;23,49;6,32;14,14;0,00;0,01;0,08;0,02;0,00;0,00;0,00;0,00;37,55;127,04;26,30;0,57;4611,69;29,60
31,60;50,43;81,60;29,53;22,61;6,32;96,11;0,00;0,01;0,15;0,01;0,00;0,00;0,00;0,00;37,51;127,09;21,97;0,13;4598,02;30,40
33,00;52,84;81,04;28,90;23,01;5,82;90,87;0,00;0,02;0,08;0,01;0,00;0,00;0,00;0,00;37,54;126,89;15,59;0,16;4599,29;30,60
32,50;48,78;76,38;29,63;23,31;6,13;49,06;0,00;0,01;0,08;0,01;0,00;0,00;0,00;0,00;37,52;126,91;17,30;0,22;4594,65;30,00
33,20;45,21;71,47;30,39;23,74;6,61;21,86;0,00;0,01;0,13;0,03;0,00;0,00;0,00;0,00;37,52;126,97;19,58;0,27;4607,03;30,30
26,30;63,86;87,88;27,02;21,92;7,07;72,69;0,16;0,15;0,28;0,00;0,00;0,00;2,09;0,00;37,60;126,99;212,34;2,79;4731,35;28,30
29,00;58,14;81,55;28,45;23,03;5,51;55,34;0,16;0,22;0,32;0,00;0,00;0,00;3,58;0,00;37,60;127,03;44,76;0,51;4581,38;30,80
29,50;52,25;77,16;29,21;23,44;6,30;29,42;0,15;0,22;0,36;0,00;0,00;0,00;1,36;0,00;37,58;127,06;33,31;0,27;4576,34;31,10
29,70;67,16;93,89;27,75;21,34;5,17;69,66;0,09;0,18;0,25;0,00;0,00;0,00;2,61;0,00;37,65;127,02;45,72;2,53;4565,98;31,30
30,00;57,96;88,35;28,63;22,66;5,87;89,33;0,12;0,22;0,34;0,00;0,00;0,00;0,01;0,00;37,55;127,14;35,04;0,51;4563,66;31,40
30,00;52,38;79,44;29,17;23,93;6,34;44,65;0,14;0,23;0,35;0,00;0,00;0,00;0,01;0,00;37,51;127,04;54,64;0,15;4577,15;31,30
28,70;63,43;87,17;28,48;23,76;5,34;102,82;0,14;0,28;0,21;0,01;0,00;0,00;0,00;0,00;37,58;126,84;12,37;0,10;4558,07;30,60
28,80;54,81;84,24;28,65;23,55;5,68;53,22;0,12;0,25;0,27;0,00;0,00;0,00;0,87;0,00;37,47;126,91;52,52;1,56;4557,61;30,60
29,40;59,15;88,49;28,64;23,09;5,54;73,14;0,10;0,28;0,15;0,00;0,00;0,00;0,00;0,00;37,50;126,83;50,93;0,41;4588,74;30,90
28,10;59,26;86,30;27,25;22,58;5,98;58,19;0,10;0,23;0,27;0,00;0,00;0,00;0,30;0,00;37,46;126,96;208,51;5,18;4495,88;29,70
31,20;50,27;80,46;29,53;23,72;6,09;47,99;0,14;0,22;0,36;0,00;0,00;0,00;0,02;0,00;37,54;127,09;28,70;0,62;4583,64;32,10
29,50;54,18;76,35;28,28;23,30;6,91;40,38;0,16;0,22;0,34;0,00;0,00;0,00;1,82;0,00;37,55;126,99;132,12;0,59;4622,22;31,30
30,30;50,43;79,26;29,31;22,98;5,94;28,33;0,15;0,24;0,36;0,00;0,00;0,00;0,12;0,00;37,58;127,08;59,83;2,69;4553,02;31,50
29,50;51,80;78,76;29,12;24,60;6,30;35,31;0,13;0,27;0,28;0,00;0,00;0,00;1,46;0,00;37,50;126,93;30,97;0,62;4563,61;30,90
29,90;54,80;76,16;28,94;24,42;6,39;44,68;0,23;0,25;0,32;0,00;0,00;0,00;1,46;0,00;37,55;126,94;30,05;0,86;4587,45;31,20
28,30;58,76;86,55;28,24;22,94;5,77;69,71;0,11;0,24;0,30;0,00;0,00;0,00;0,04;0,00;37,47;127,00;82,29;2,26;4526,64;29,70
29,70;63,14;87,90;28,35;21,36;5,11;79,37;0,14;0,21;0,34;0,00;0,00;0,00;1,24;0,00;37,62;127,10;53,47;0,70;4578,50;31,00
29,80;58,29;86,56;28,52;23,07;5,77;70,16;0,12;0,23;0,35;0,00;0,00;0,00;0,00;0,00;37,48;127,02;56,44;1,23;4554,50;32,80
29,60;56,36;76,77;28,48;23,94;6,08;46,84;0,22;0,24;0,31;0,01;0,00;0,00;0,81;0,00;37,58;126,94;75,09;1,77;4612,76;30,60
29,10;67,51;92,78;26,80;21,38;7,19;70,03;0,11;0,16;0,25;0,00;0,00;0,00;2,61;0,00;37,62;127,00;146,55;4,73;4671,20;30,70
29,40;52,32;76,59;29,28;23,85;6,60;26,88;0,14;0,22;0,36;0,00;0,00;0,00;0,61;0,00;37,55;127,04;26,30;0,57;4573,44;30,60
